rxn,category
CC(=O)CC(O)C(=O)O>>CC(N)CC(O)C(=O)O,3
O=C(CO)[C@H](O)CO>>OCC(O)[C@H](O)CO,2
CC(C)CC(=O)C(=O)O>>CC(C)CC(O)C(=O)O,2
CC(C)=CCCC(C)CC=O>>CC(C)=CCCC(C)CCO,2
CC/C=C\C/C=C\CC=O>>CC/C=C\C/C=C\CCN,3
COc1ccc(C=O)cc1OC>>COc1ccc(CN)cc1OC,3
CC(=O)CC(N)C(=O)O>>CC(O)CC(N)C(=O)O,2
CCC(C)C(=O)C(=O)O>>CCC(C)C(O)C(=O)O,2
NC1C=CC(=O)C=C1O>>NC1C=CC(N)C(O)=C1,3
CC(=O)COP(=O)(O)O>>CC(N)COP(=O)(O)O,3
CCCCCCCCCCCCCCC=O>>CCCCCCCCCCCCCCCN,3
O=Cc1ccc(CO)cc1O>>OCc1ccc(CO)c(O)c1,2
CCC(C)C(=O)C(=O)O>>CCC(C)C(N)C(=O)O,3
CC(=O)CC(N)C(=O)O>>CC(N)CC(N)C(=O)O,3
CC(=O)CC(O)C(=O)O>>CC(O)CC(O)C(=O)O,2
O=CCCC(O)c1cccnc1>>OCCCC(O)c1cccnc1,2
O=CC1Cc2ccccc2C1O>>OCC1Cc2ccccc2C1O,2
NC1Cc2ccccc2C1C=O>>NC1Cc2ccccc2C1CO,2
CC1(C)COC(=O)C1=O>>CC1(C)COC(=O)C1N,3
CCCC(=O)CC(=O)OCC>>CCCC(O)CC(=O)OCC,2
O=C1c2ccccc2CC1CO>>NC1c2ccccc2CC1CO,3
O=C1Cc2ccccc2C1CO>>OCC1c2ccccc2CC1O,2
CCCCCCCCCC(O)CC=O>>CCCCCCCCCC(O)CCN,3
CC(N)CC(=O)C(=O)O>>CC(N)CC(N)C(=O)O,3
NCCCC(=O)c1cccnc1>>NCCCC(N)c1cccnc1,3
CN1C2CCC1CC(=O)C2>>CN1C2CCC1CC(N)C2,3
NC1Cc2ccccc2C1C=O>>NCC1c2ccccc2CC1N,3
C[N+](C)(C)CCCC=O>>C[N+](C)(C)CCCCN,3
O=Cc1ccccc1C(=O)O>>O=C(O)c1ccccc1CO,2
CC(C)C(=O)CC(=O)O>>CC(C)C(O)CC(=O)O,2
